"Genotype","Replicate","Dose_.ppm.","Alive","Dead","Total"
"SS",1,0,47,3,50
"R1R1",1,0,37,13,50
"R2R2",1,0,40,10,50
"R3R3",1,0,37,13,50
"SR1",1,0,38,12,50
"SR2",1,0,38,12,50
"SR3",1,0,42,8,50
"SS",2,0,42,8,50
"R1R1",2,0,37,13,50
"R2R2",2,0,39,11,50
"R3R3",2,0,43,7,50
"SR1",2,0,44,6,50
"SR2",2,0,46,4,50
"SR3",2,0,44,6,50
"SS",1,2.5,11,39,50
"R1R1",1,2.5,14,36,50
"R2R2",1,2.5,42,8,50
"R3R3",1,2.5,38,12,50
"SR1",1,2.5,23,27,50
"SR2",1,2.5,36,14,50
"SR3",1,2.5,48,2,50
"SS",2,2.5,5,45,50
"R1R1",2,2.5,23,27,50
"R2R2",2,2.5,35,15,50
"R3R3",2,2.5,43,7,50
"SR1",2,2.5,29,21,50
"SR2",2,2.5,44,6,50
"SR3",2,2.5,44,6,50
"SS",1,5,0,50,50
"R1R1",1,5,0,50,50
"R2R2",1,5,31,19,50
"R3R3",1,5,33,17,50
"SR1",1,5,0,50,50
"SR2",1,5,37,13,50
"SR3",1,5,38,12,50
"SS",2,5,0,50,50
"R1R1",2,5,0,50,50
"R2R2",2,5,37,13,50
"R3R3",2,5,35,15,50
"SR1",2,5,0,50,50
"SR2",2,5,41,9,50
"SR3",2,5,46,4,50
"SS",1,7.5,0,50,50
"R1R1",1,7.5,0,50,50
"R2R2",1,7.5,29,21,50
"R3R3",1,7.5,37,13,50
"SR1",1,7.5,0,50,50
"SR2",1,7.5,23,27,50
"SR3",1,7.5,35,15,50
"SS",2,7.5,0,50,50
"R1R1",2,7.5,0,50,50
"R2R2",2,7.5,30,20,50
"R3R3",2,7.5,38,12,50
"SR1",2,7.5,0,50,50
"SR2",2,7.5,20,30,50
"SR3",2,7.5,29,21,50
"SS",1,10,0,50,50
"R1R1",1,10,0,50,50
"R2R2",1,10,19,31,50
"R3R3",1,10,26,24,50
"SR1",1,10,0,50,50
"SR2",1,10,5,45,50
"SR3",1,10,19,31,50
"SS",2,10,0,50,50
"R1R1",2,10,0,50,50
"R2R2",2,10,22,28,50
"R3R3",2,10,40,10,50
"SR1",2,10,0,50,50
"SR2",2,10,10,40,50
"SR3",2,10,20,30,50
"SS",1,15,0,50,50
"R1R1",1,15,0,50,50
"R2R2",1,15,8,42,50
"R3R3",1,15,10,40,50
"SR1",1,15,0,50,50
"SR2",1,15,0,50,50
"SR3",1,15,3,47,50
"SS",2,15,0,50,50
"R1R1",2,15,0,50,50
"R2R2",2,15,7,43,50
"R3R3",2,15,12,38,50
"SR1",2,15,0,50,50
"SR2",2,15,1,49,50
"SR3",2,15,2,48,50
"SS",1,20,0,50,50
"R1R1",1,20,0,50,50
"R2R2",1,20,0,50,50
"R3R3",1,20,6,44,50
"SR1",1,20,0,50,50
"SR2",1,20,0,50,50
"SR3",1,20,0,50,50
"SS",2,20,0,50,50
"R1R1",2,20,0,50,50
"R2R2",2,20,1,49,50
"R3R3",2,20,6,44,50
"SR1",2,20,0,50,50
"SR2",2,20,0,50,50
"SR3",2,20,0,50,50
"SS",1,25,0,50,50
"R1R1",1,25,0,50,50
"R2R2",1,25,0,50,50
"R3R3",1,25,1,49,50
"SR1",1,25,0,50,50
"SR2",1,25,0,50,50
"SR3",1,25,0,50,50
"SS",2,25,0,50,50
"R1R1",2,25,0,50,50
"R2R2",2,25,0,50,50
"R3R3",2,25,0,50,50
"SR1",2,25,0,50,50
"SR2",2,25,0,50,50
"SR3",2,25,0,50,50
"SS",1,30,0,50,50
"R1R1",1,30,0,50,50
"R2R2",1,30,0,50,50
"R3R3",1,30,0,50,50
"SR1",1,30,0,50,50
"SR2",1,30,0,50,50
"SR3",1,30,0,50,50
"SS",2,30,0,50,50
"R1R1",2,30,0,50,50
"R2R2",2,30,0,50,50
"R3R3",2,30,0,50,50
"SR1",2,30,0,50,50
"SR2",2,30,0,50,50
"SR3",2,30,0,50,50
